FIPS,Rate_x,Rate_y,Rate
20017,148.1,0.0,0.0
20019,112.6,0.0,0.0
20021,295.5,14.3,0.0
20023,37.1,74.2,0.0
20025,228.0,0.0,0.0
20027,178.4,11.9,0.0
20029,290.6,43.0,0.0
20031,107.0,0.0,0.0
20033,51.2,0.0,0.0
20035,245.8,71.8,0.0
20037,320.8,22.9,0.0
20039,136.5,0.0,0.0
20041,214.2,61.2,0.0
20043,216.5,38.2,0.0
20045,543.2,81.3,2.6
20047,203.7,0.0,0.0
20049,113.0,0.0,0.0
20051,447.3,24.1,3.4
20053,171.9,15.6,0.0
20055,506.8,35.0,0.0
20057,364.7,25.8,0.0
20059,388.5,27.2,0.0
20061,580.5,168.5,0.0
20063,108.3,0.0,0.0
20065,38.6,0.0,0.0
20067,327.0,12.6,0.0
20069,99.9,0.0,0.0
