ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,,
01585,66174237,1669484,25.55,0.64,"4,554","2,049",42.240795,-72.162644,,
01588,22296389,1660430,8.61,0.64,"9,733","3,903",42.119228,-71.671821,,
01590,82903473,4181050,32.01,1.61,"8,875","3,360",42.132051,-71.750318,,
01602,14936885,631588,5.77,0.24,"22,819","9,451",42.271563,-71.849991,,
01603,11691789,340396,4.51,0.13,"19,916","7,950",42.244637,-71.843925,,
01604,16677756,474175,6.44,0.18,"34,677","15,570",42.253254,-71.767957,,
01605,14612620,341309,5.64,0.13,"26,221","11,140",42.289683,-71.787793,,
01606,15358057,24039,5.93,0.01,"19,077","8,449",42.315249,-71.795741,,
01607,8199220,136988,3.17,0.05,"8,351","3,850",42.225960,-71.788910,,
01608,1159110,0,0.45,0.00,"3,888","1,743",42.261980,-71.801462,,
01609,9893464,56961,3.82,0.02,"22,421","8,307",42.285114,-71.829987,,
01610,5505953,9032,2.13,0.00,"23,945","8,321",42.247049,-71.808366,,
01611,8915204,647961,3.44,0.25,"2,242",916,42.237604,-71.875838,,
01612,39666695,1982438,15.32,0.77,"4,845","1,608",42.296636,-71.929607,,
