COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01059,35571,0.028175550,0.017142857,0.006825939,0.027089548
01059,35654,0.229779899,0.127619048,0.208191126,0.222864796
01059,35585,0.050450809,0.030476190,0.000000000,0.048274183
01059,35564,0.005171042,0.000000000,0.000000000,0.004748280
01061,36349,0.000000000,0.000965251,0.000000000,0.000065377
01061,36305,0.023012848,0.005791506,0.000000000,0.021705021
01061,36352,0.003035437,0.000000000,0.000000000,0.002811192
01061,36318,0.032119159,0.004826255,0.000000000,0.030073222
01061,36313,0.000000000,0.000965251,0.000000000,0.000065377
01061,36344,0.217633771,0.216216216,0.234042553,0.217638598
01061,36340,0.208739235,0.330115830,0.436170213,0.218357741
01061,36314,0.025695327,0.013513514,0.074468085,0.025169979
01061,36477,0.193420867,0.295366795,0.074468085,0.199594665
01061,36375,0.219610335,0.103281853,0.180851064,0.211493201
01061,36301,0.006000282,0.000965251,0.000000000,0.005622385
01061,36453,0.032825074,0.013513514,0.000000000,0.031315377
01061,36322,0.000917690,0.000000000,0.000000000,0.000849895
01061,36316,0.036989976,0.014478764,0.000000000,0.035237971
01063,36740,0.234101201,0.080985915,0.033333333,0.224921194
01063,35443,0.206930498,0.091549296,0.066666667,0.200074170
01063,35448,0.000000000,0.003521127,0.000000000,0.000185426
01063,35491,0.000000000,0.003521127,0.000000000,0.000185426
01063,35480,0.017523134,0.003521127,0.000000000,0.016688300
01063,35462,0.527072258,0.799295775,0.900000000,0.543482292
01063,35469,0.014372908,0.017605634,0.000000000,0.014463193
01065,36742,0.030238852,0.027027027,0.007389163,0.029094021
01065,36776,0.101188375,0.015765766,0.004926108,0.092951118
01065,36765,0.077773856,0.020270270,0.017241379,0.072414162
01065,35474,0.242969761,0.141891892,0.034482759,0.229115413
01065,36738,0.001764914,0.000000000,0.000000000,0.001604450
01065,36744,0.449111660,0.745495495,0.931034483,0.484115948
01065,36756,0.018002118,0.015765766,0.000000000,0.017114130
01065,35441,0.078950465,0.033783784,0.004926108,0.073590758
01067,36317,0.023103919,0.009102731,0.010752688,0.021938821
01067,36373,0.031097680,0.015604681,0.005376344,0.029608490
01067,36319,0.036264379,0.009102731,0.000000000,0.033800054
01067,36310,0.450477676,0.538361508,0.827956989,0.462766432
01067,36353,0.076818093,0.028608583,0.010752688,0.072415946
01067,36350,0.024566192,0.007802341,0.000000000,0.023009007
01067,36303,0.001852213,0.000000000,0.000000000,0.001694462
01067,36345,0.355819848,0.391417425,0.145161290,0.354766789
01069,36312,0.054329404,0.009791401,0.034634415,0.048686419
01069,36352,0.028661821,0.011352349,0.008796042,0.026110250
01069,36305,0.140164212,0.103590180,0.148982958,0.136263878
01069,36319,0.015404316,0.005250461,0.009345794,0.014071779
01069,36321,0.014406237,0.004399035,0.011544805,0.013184224
01069,36370,0.008304772,0.000567617,0.000000000,0.007181126
01069,36303,0.275432187,0.386547467,0.374381528,0.290972760
01069,36350,0.006026138,0.000993330,0.000000000,0.005276917
01069,36301,0.343998343,0.317581950,0.382627817,0.342128195
01069,36345,0.004689089,0.001277139,0.001649258,0.004211851
01069,36375,0.010508079,0.003547609,0.005497526,0.009569455
01069,36302,0.028548831,0.138782461,0.000549753,0.040262716
01069,36376,0.021016158,0.003263800,0.008246289,0.018622515
01069,36343,0.015950435,0.003547609,0.001099505,0.014104054
01069,36320,0.032559979,0.009507592,0.012644310,0.029353860
01071,35768,0.214613053,0.523019272,0.320113314,0.235561324
01071,35745,0.007687190,0.004282655,0.002832861,0.007411455
01071,35766,0.003030527,0.001605996,0.002832861,0.002937259
01071,35765,0.073952251,0.033190578,0.048158640,0.071040678
01071,35751,0.004989282,0.000000000,0.002832861,0.004644967
01071,35752,0.039581639,0.020342612,0.033994334,0.038286827
01071,35958,0.059982260,0.025695931,0.014164306,0.057242392
01071,35979,0.007317614,0.003211991,0.002832861,0.007001605
01071,35978,0.021583266,0.005353319,0.016997167,0.020492503
01071,35966,0.048081898,0.024089936,0.014164306,0.046142286
01071,35764,0.011937320,0.006959315,0.002832861,0.011509956
01071,35748,0.002180501,0.001070664,0.000000000,0.002083404
01071,35774,0.002291374,0.001605996,0.008498584,0.002322484
01071,35740,0.059649642,0.032655246,0.090651558,0.058301171
01071,35769,0.163611501,0.156852248,0.195467422,0.163564329
01071,35755,0.007982852,0.003211991,0.002832861,0.007616380
01071,35744,0.044201345,0.011241970,0.048158640,0.042146248
01071,35771,0.069849952,0.032119914,0.067988669,0.067420335
01071,35772,0.085963486,0.088329764,0.107648725,0.086375901
01071,35746,0.014820016,0.003747323,0.005665722,0.014003210
01071,35776,0.056693030,0.021413276,0.011331445,0.053895283
01073,35215,0.060038460,0.030435219,0.095727908,0.058290954
